Position,Experience,Company,Location,Date,Details
PHP/Python Developer,from 1 to 3 years,Treeum,"Київ, віддалено",21 серпня,"Treeum  — продуктова FinTech-компанія. Ми розробляємо платформи, прості та зручні сервіси, які дозволяють користувачам легко вибрати і замовити фінансові послуги. Зараз ми знаходимось у пошуках  PHP/Python Developer  для роботи з нашим проектом, SD — розробка функціоналу (бренд-детектор). Наші очікування: Досвід роботи з Python 1 рік Досвід роботи з PHP 2 роки Досвід роботи message brokers (KAFKA, RabbitMQ) Досвід роботи з БД PostgeSQL Досвід проектування програмних рішень і написання докуметації Досвід роботи з web scraping (headless headless, selenium, nodejs) Досвід в написанні тестів Буде плюсом: Знання інших мов програмування Знання Docker Досвід написання e2e тестів Вміння розбиратися в чужому коді і процесах Обов’язки на посаді: Розробка API Оптимізація продуктивності Розробка нового функціоналу Розробка задач в системі SalesDoubler Участь в стендапах та плануванні Оцінка задач Що ми пропонуємо: Віддалений формат роботи / гібридний / в офісі м. Київ — на вибір. Офіс open space поруч з метро Палац України Достойний рівень заробітної плати Оплачувану відпустку та лікарняні Корпоративну програму бенефітів: доступ до медичного страхування, навчання, чи інших категорій на вибір Відкритість до нових ідей та персональний вплив на розвиток продуктів Надсилайте Ваше резюме і поспілкуємося більш детально!"
Junior Python Software Engineer,from 1 to 3 years,CodeIT,"Харків, Вінниця, віддалено",21 серпня,"Project Overview The role is within our platform for supporting the collection and processing of our commercial data/revenue data. The tool that does this is called Affrobot. Largely this data is collected via Web and API scraping and we do this for 583 affiliate accounts we have with our partners. Historically these account scrappers were all written in PHP, we now have a micro service called Convoy that is written in Python. However, not all scrapers have been migrated to Convoy yet. The project is Casino related. Required skills Proficiency experience in Python Knowledge OOP, REST API, HTML, GitHub Commercial experience with Playwright or similar frameworks for browser automation Familiarity with RabbitMQ for message queuing Strong knowledge of PostgreSQL  Experience with cloud services, preferably AWS Competency in Docker Understanding of CI/CD processes and tools like Git Being comfortable working in Agile environments, utilizing both Scrum and Kanban methodologies Strong internet connection required for remote development on Azure virtual desktops Familiarity with the best practices of storing and processing sensitive data securely Upper-Intermediate or higher level of English Confidence working independently on tasks whilst also knowing when to ask for help Would be a plus Experience with Docker, Airflow, Postman Experience in web scraping or automation and knowledge of headless browsers. Responsibilities   Maintain and enhance existing scrapers Develop new scrapers Triage / refine defects that arise in our data pipelines Work with RabbitMQ and PostgreSQL to manage and process data efficiently Collaborate with the team using Agile methodologies, primarily Scrum and Kanban Maintain and enhance CI/CD to ensure smooth and reliable code deployments Project Stack Python Playwright RabbitMQ PostgreSQL AWS Docker Airflow Git Development Processes Scrum for planned/project work Kanban for unplanned work (e.g., ad-hoc scraper fixes) CI/CD is in place Environment Local development will be done on an Azure remote virtual desktop, requiring a fast internet connection due to the handling of sensitive company revenue data This remote desktop will include all necessary tools, IDEs, local development environments, etc"
Strong Junior or Middle Python Engineer,from 1 to 3 years,Artellence,віддалено,26 серпня,"Artellence —  єдина в Україні компанія, що розробляє унікальні технології штучного інтелекту для аналізу big data з відкритих джерел, у тому числі й технологію розпізнавання облич, яка є однією з кращих на світовому рівні. Про компанію: Наша місія полягає у тому, щоб застосовувати останні здобутки у сфері штучного інтелекту для підвищення обороноздатності та вирішення соціальних задач українського суспільства. Розроблені алгоритми ідентифікують групи людей за фото, перевіряють підозрілих людей, вирішують хто сьогодні отримає кредит, а кого завтра візьмуть на роботу. Ми беремо участь у будівництві нового майбутнього, заснованого на AI та big data. 

 Ми шукаємо націленого на результати та розвиток  Strong Junior or Middle Python Engineer. 

   Чому вакансія має тебе зацікавити? Аналізуємо петабайти даних з відкритих джерел, ідентифікуємо групи людей за фото та будуємо їх цифрові сліди... Майже як у Чорному дзеркалі! У нас цікаво, незвично та багато драйву На кожній позиції ми надаємо свободу дій, «творчості», а також пропонуємо складні задачі та допомагаємо їх вирішувати, що дозволяє дуже швидко прокачувати свої навички та бачити результати саме своєї роботи В нас високий поріг входу до складу команди, що дає можливість працювати в оточенні найкращих над спільними задачами та разом генерувати нові ідеї Технічні вимоги: Профільна вища освіта топових факультетів українських ВНЗ (прикладна математика, системний аналіз, комп’ютерні науки): КПІ, Шевченко, УКУ, Одеська/Харківська/Львівська/Дніпровська Політехніки, ХНУРЕ тощо Комерційний досвід роботи з Python від 1 року Розуміння алгоритмів і структур даних Розуміння основ паралельного та конкурентного програмування, включаючи досвід роботи з відповідними бібліотеками в Python Розуміння SE principles та вміння їх застосувати Розуміння основних принципів передачі даних в мережі Досвід роботи з Git та Docker Досвід роботи з NoSQL / SQL базами даних Дуже бажано: Знання та досвід моделювання і обробки даних Досвід роботи з MongoDB, Jupyter, Airflow і SQL Досвід роботи з Bash Досвід feature engineering Досвід підтримки мікросервісів Досвід створення API, оптимізації програмного коду Досвід у web розробці Досвід роботи з фреймворком FastAPI Приклади задач: Обробка великих обсягів даних Моделювання даних, підтримка та впровадження пайплайнів обробки та передачі даних, у тому числі на web Розробка клієнтських API та внутрішніх продуктів компанії Що ми пропонуємо: Гнучкий графік — ми працюємо на результат Повністю віддалений формат з можливістю відвідувати командні івенти Цікаві завдання та постійний професійний розвиток Відсутність бюрократії та мікро менеджменту Конкурентний соціальний пакет Компанія може надавати бронювання ключовим співробітникам Твій шлях до оферу:  повідомлення від рекрутера, в разі релевантності резюме > опитувальник > hr співбесіда > технічна співбесіда (2 етапи) > пропозиція роботи. Детальніше про компанію можна дізнатися: Сайт  artellence.com Telegram-канал BigDataFuture ( t.me/artellence_official ). Пошук постів про внутрішню кухню компанії за #ai_from_inside Сторінка компанії на DOU, де є відгуки співробітників:  jobs.dou.ua/companies/artellence Бажаєш брати участь у створенні технологій світового рівня й одночасно з цим підвищувати обороноздатність України? Тобі до нас!"
Middle Python Developer,from 1 to 3 years,COAX Software,"Івано-Франківськ, віддалено",27 серпня,"Хто ми?   COAX Software займається створенням продуктів у сферах e-commerce, fintech, real estate, travel на ринках Європи, США, Британії та інших країн на аутсорс та аутстаф основі. Працюємо тільки над крутими та справді актуальними проєктами, які роблять наше життя кращим! Чим можемо бути цікаві : — щопіврічні перегляди на основі PDP та OKR; — справді гнучкий графік: головне — бути присутнім на дзвінках і підтримувати зв’язок з командою. А як ви розкидаєте решту робочих годин — справа ваша; — усі тулзи для роботи та wiki-база курсів, щоб прокачатись технічно; відкриті до нових ідей та думок менеджери; — без бюрократії: є проблема? Стукайте у двері руми  C-lvl  і скажіть про це. Ми за відкритість і швидке вирішення кейсів; — медичне страхування, соц. пакет; — англійська, забезпечення apple технікою — усі ці звичні речі та набагато більше) Що потрібно знати/мати: — рівень розмовної англійської від впевненого  В1 ; — від  двох років  комерційного досвіду з Python та Django; — впевнені знання з Redis; — досвід з Postgres DB; — навички модульного тестування та налагодження за допомогою pytest або інших інструментів; — знання принципів SOLID, DRY, EDD та TDD; — розуміння мережевих протоколів; — досвід із нереляційними базами даних; — із софт скілів, звичайно, відповідальність, проактивність, уважність до деталей та бажання розвиватись. Буде плюсом  робота з Elasticsearch,FastAPI, Flask та знання SQLAlchemy, SQLModel або Tortoise ORM. Що треба робити:   — підтримка існуючого коду; — робота з командою з впровадження нових рішень, які вирішують проблеми клієнта; — створювати та підтримувати технічну документацію для кодових баз, API та процесів розробки; — оптимізація існуючої кодової бази; — виявляти, діагностувати та вчасно виправляти програмні помилки та проблеми; — забезпечувати ефективну комунікацію; — написання тестів; — брати участь у вирішенні проблем, які виникають та можливість знаходити рішення за допомогою засобів моніторингу; — бути присутнім на мітингах, демо, релізах та різних івентах. P.S. при віддаленому типі співпраці вакансія передбачає локаційне знаходження в Україні та регулярні відрядження в Івано-Франківськ до команди. Відгукуючись вкажіть, будь ласка, бажану вами фінансову винагороду Через велику кількість заявок розгляд вашого відгуку може займати до 7 робочих днів."
Middle Backend Engineer (Python),from 1 to 3 years,Poklyk,"Київ, за кордоном, віддалено",27 серпня,"Poklyk  is a  product company  specializing in developing and advancing our web and mobile applications,  orderry.com  and  remonline.app , designed for SME automation. Our services empower businesses to streamline processes and embrace a more technological approach. We seek a highly skilled  Middle Backend Engineer  to bolster our team. At our organization, we employ a product engineering methodology, ensuring that our products are meticulously crafted to precisely meet the diverse business requirements of our valued users. Stack:  Python 3.11, Django 4, DRF, Celery, PostgreSQL, Redis, RabbitMQ, OpenAPI, Swagger, Pytest, FastAPI Requirements: — 2+ years of experience working as a Python Developer — Strong programming skills in Python — Understanding of the REST API model — Experience with PostgreSQL, raw SQL — Experience with RabbitMQ, Celery — Experience with Redis — Familiar with smoke/unit testing with Pytest — Experience with bash — Experience with Git Responsibilities: — Development of new functionality from scratch — Development and description of new API methods — Optimization and development of existing solutions — Close interaction with development teams like QA, Frontend, DevOps — Database query profiling and optimization — Participants in the development of some microservice layers Would be a plus: — Experience with Docker and Docker Compose — Experience with DRF or FastAPI — Knowledge of relational database indexing/sharding/partitioning Working terms: — Official employment. — Your direct involvement in product development; we discuss every proposal for service improvement with the entire team. — Opportunity to work in an IT company recognized as a market leader in business automation services critical to the Ukrainian economy. — Flexibility to work in a hybrid format or remotely. — You become part of a company that has won prestigious programs such as MasterCard Start Path Ukraine, Google for Startups, and more. — 18 working days of vacation, 10 paid days off, and sick leave. — English language courses. — Compensation for course expenses, webinars, and other related activities. — We provide legal and accounting support. Hiring process:   — Intro call with a recruiter (30 min) — Pre-interview with Team Lead (30 min) — Technical Interview with Team Lead and CTO (1h 30 min) — Offer from Poklyk Let’s create the future together 🚀"
Full-Stack Developer (Vue.js\Python),from 1 to 3 years,Octy,віддалено,30 серпня,"About project   A platform that empowers businesses to delegate their communications to AI. It specializes in data integration and management, offering tools to connect various data sources, automate data workflows, and streamline communication processes. Required skills: Proficiency in Vue.js and Vite. Strong understanding of modern JavaScript and frontend development practices. Experience with Python and FastAPI. Comfort with and willingness to incorporate GPT-based coding solutions into development workflows. Knowledge of building and scaling RESTful APIs. Familiarity with Strapi or similar headless CMS platforms. Experience with cloud deployment, specifically on  Fly.io  or similar platforms.   Responsibilities: Develop and maintain the frontend using Vue.js and Vite. Build and optimize backend services with Python (FastAPI). Integrate and manage content through Strapi CMS. Handle deployment and scaling on  Fly.io . Utilize and adapt GPT-based coding solutions to enhance development efficiency. Collaborate with the team to design and implement new features.   We offer:   — Young and friendly team — Competitive salary — Fully remote work — Flexible schedule — 4 calendar weeks of paid vacation — 10 days of paid sick leave — Corporate events and team buildings — Corporate-funded training  — Paid expos and conferences (online or offline) — Providing with all necessary equipment   Hiring process: — HR interview (about 25 minutes) — General interview (up to 1 hour)   We offer  a project-based role  with the potential for full-time employment upon successful completion of the project.   Good luck! See you in our team! Octy"
Fullstack Developer (Python + React),from 1 to 3 years,Pecode,"Львів, віддалено",28 серпня,"Привіт, друже! 😎 Ми раді, що ти цікавишся нашою компанією! У Pecode ми створюємо унікальну атмосферу, де кожен має можливість зростати та розвиватися. Зараз ми шукаємо нового колегу на позицію Python розробника. Якщо ти маєш досвід і бажання розвиватися разом з нами — ця вакансія для тебе! Тобі варто відгукнутися, якщо: Ти маєш не менше 2 років досвіду роботи з Python та JS Володієш англійською та українською на рівні B2 і вище. Бажаєш працювати в команді професіоналів і розвиватися в IT сфері. Твої навички: Core Knowledge: Python: Впевнено володієш синтаксисом Python, знаєш структури даних (списки, словники, множини) та об’єктно-орієнтоване програмування (ООП). Web Development: Добре розумієш принципи веб-розробки, включаючи HTTP, RESTful API, і базову архітектуру клієнт-сервер. Добре розуміння React, HTML, CSS, JavaScript/TypeScript. Вміння використовувати компонентну архітектуру для побудови проекту. Database Knowledge: Вмієш працювати з SQL, розумієш концепції реляційних баз даних і знайомий з базовими операціями. Frameworks: Django або Flask: Впевнено використовуєш Django або Flask для створення і управління веб-застосунками. Вмієш створювати базові CRUD-застосунки і розумієш фундаментальні концепції цих фреймворків. Next.js: Впевнено використовуєш Next.js для створення сучасних веб-застосунків. Вмієш працювати з SSR (Server-Side Rendering) та SSG (Static Site Generation), створювати та налаштовувати маршрути, а також інтегрувати API з використанням функцій API Routes. Розумієш концепції сторінок і компонентів, а також практики оптимізації продуктивності і SEO. Databases: CRUD Operations: Вмієш виконувати базові Create, Read, Update, Delete (CRUD) операції. Relational Databases: Маєш міцні знання про системи управління реляційними базами даних (RDBMS) як PostgreSQL або MySQL. ORMs: Знайомий з Object-Relational Mappers (ORMs) як Django ORM або SQLAlchemy. Architecture and API Development: RESTful API Principles: Добре розумієш дизайн і принципи RESTful API. Basic CRUD API Development: Вмієш створювати та управляти базовими CRUD операціями через RESTful API. Security: Basic Web Security: Знаєш базові принципи веб-безпеки, включаючи захист від SQL ін’єкцій і Cross-Site Scripting (XSS). DevOps: Docker: Маєш базові знання про Docker і контейнеризацію. CI/CD: Розумієш основи процесів Continuous Integration/Continuous Deployment (CI/CD) і інструментів. Що ми пропонуємо: Професійний ріст: Широкі можливості для твого професійного та особистого розвитку. Свобода: Можливість вносити та реалізовувати креативні ідеї. Розвиток: Регулярні «майстер-класи» від наших експертів та зовнішні навчання. Атмосфера: Дружня робоча атмосфера, яка допоможе тобі швидше досягати успіху. Наша взаємодія буде відбуватися наступним чином: Повідомлення від рекрутера. Первинна співбесіда. Технічна співбесіда. Співбесіда з тімлідом. Оффер. Чекаємо на твоє резюме! 🎉"
Middle QA Automation (Python),from 1 to 3 years,Quod Financial,"Гданськ (Польща), віддалено",27 серпня,"Must have skills Understanding of basic OOP concepts Strong knowledge of Python Knowledge of testing methodology Experience in writing test documentation Experience with bug-tracking systems (Jira) Experience in functional backend testing (without GUI) Basic knowledge of SQL Good knowledge of Git (developer level) Strong knowledge of Linux and its command line tools Spoken English — Upper-Intermediate (English is our main language due to the international team) Ability to work without electricity (having power banks etc.) Nice to have skills Basic knowledge of Kotlin Basic knowledge of Kubernetes and Grafana Responsibilities Create autotests using Python Extend custom framework using Python (and in some places Kotlin) Analyse issues with the framework that works on Kubernetes and runs as a service where logs are visible in Grafana Help unblock the team by solving complex issues with the framework or extending the framework Mentor the team (4 ppl) in Python — by teaching them how to resolve complex issues with the framework and doing code review Maintain automated and manual tests across different releases Run regression testing, analyze results, and raise reports Learn to solve complex environment and product configuration issues — to make sure Automation runs are stable, with the help of the team Work with external team who build the framework — to resolve issues with the framework that cannot be resolved internally We offer Work on the company’s own product — a trading platform Very technical and complex product, therefore, you should be a technical person Annual paid vacation 20 working days and 10 days of sick leave The warm and friendly working atmosphere Work in an international team Stable, long-term project Remote or office in Gdansk A big QA team of 30 people Type of contract — Gig Contract Ukrainian public holidays — days off Corporate laptop Hiring Process Steps Technical test — 20 min (Python + testing) HR interview — 30 min Technical interview with a QA Manager and Automation Lead — 30 — 60 min Interview with a Product Owner and a Direct Manager — 45 min If your CV is relevant to this position our recruiting team will contact you within 5 working days Please, note that half of Quod’s Ukrainian team is from Kharkiv and speaks russian, including some recruiters and hiring managers. You are free to speak Ukraininan, russian, and English, but if the language question is very important to you, Quod may not be the best fit for you."
Python Developer,from 1 to 3 years,Nova Digital,віддалено,27 серпня,"Українська IT-компанія Nova Digital, що входить в групу компаній NOVA — це потужний виробник веб-додатків та програмного забезпечення для архітектур будь-якої складності та навантаженості на них. Ми створюємо, обслуговуємо та постійно вдосконалюємо програмні продукти, зручність яких вже оцінили 32 мільйони приватних та бізнес-клієнтів Нової пошти. Ми розширюємо нашу команду, тому наразі ми у пошуку  Python Developer   Чим ти займатимешся Написання ETL паплайнів із використанням мови програмування Python (Apache Airflow) Інтеграції з API інтерфейсами систем компанії Робота з інструментами Google Cloud Platform: (BigQuery, PubSub, CloudSQL, Composer, Dataproc) Написання пайплайнів для прорахунку необхідних аналітичних даних згідно поставлених технічних завдань Підвищення ефективності роботи з базами даних MS SQL, PostgreSQL Удосконалення поточної архітектури взаємодії систем відділу Робота з системою контроля версій GitLab, документування розробки    Про тебе Комерційний досвід роботи в якості Python / SQL розробника від 2 років Гарні знання ООП Python Впевнено працюєш з форматами даних JSON, XML Навички роботи з Apache Airflow, MS SQL Server, PostgreSQL, Google Cloud Platform Досвід побудови ETL процесів Рівень володіння англійської мови В1   Буде плюсом Досвід з PySpark, MongoDB, побудова Data Lake Досвід роботи з Docker, розуміння CI/CD Досвід роботи в сфері логістики або поштових сервісів   Ми пропонуємо Офіційне працевлаштування Оплачувану відпустку  Медичне страхування Необхідну техніку для роботи Корпоративну культуру, яка мотивує та заряджає позитивом Роботу в соціально відповідальній компанії, що слідкує за трендами, цінує ідеї співробітників і розвивається разом з ним Можливість безпосередньо впливати на створення продукту, яким користуються мільйони користувачів Можливість роботи віддалено або у сучасному офісі, за бажанням Надсилай своє резюме, будемо знайомитись :)"
Middle Python Developer,from 1 to 3 years,Inoxoft,"Львів, Вроцлав (Польща), віддалено",30 серпня,"We’re looking for a talented and passionate  Python Developer  who will help build and maintain product features and fix bugs. You will help integrate with third-party systems in a secure and reliable way, troubleshoot and resolve complicated and unique issues, implement performance improvements that ensure our growing user basemaintains quick access to our products. Project details:  A platform for communication between doctors and patients needing mental health support. Our Team:  2 Back End devs, 1 Front End dev, 1 Full Stack dev, Staff Engineer, QA. Responsibilities: — Assist projects through all aspects of the development process, including design discussions, point estimations, code architecture decisions, and implementation. — Maintain code integrity and promote best practices, both through your own work and through code reviews. — Participate in all steps of the software development life cycle, including cross-department collaboration. Requirements: — 2,5+ years of experience with Python and Flask. — Have extensive development experience with ORMs (SQLAlchemy, PostgreSQL). — Experience with Clouds (AWS). — Professional in Celery and Terraform. — The ability to write tests (Pytest). — Strong understanding of system architecture and design patterns. — Develop and implement software solutions that meet project requirements and quality standards, using industry best practices and technologies. — Proactivity, curiosity, and outside the box thinking. — English Upper intermediate is must. As a great plus: — Ideally previous experience with React, Typescript. — Experience with Docker, and integrating with third party services in a scalable, reusable way. — Previous experience working on large-scale and highly loaded-projects. — Healthcare integration (Athena, Xealth) Benefits: — Flexible working hours; — 20 paid days off and 10 sick/medical leaves; — Additional paid days off for personal events like marriage and childbirth; — Maternity/Paternity leaves; — Medical insurance; — Discount program; — Self-development budget per year; — Referral bonuses; — Corporate events and gifts; — Learning events and mentorship opportunities; — Speaking Clubs; — PE accounting and support."
Python Developer in Test,from 1 to 3 years,Ajax Systems,Київ,2 вересня,"Ajax Systems  — розробник і виробник систем безпеки Ajax із можливостями розумного дому. Це більше ніж 50 пристроїв, мобільні та десктопні застосунки, серверна інфраструктура. У лінійці Ajax представлено централі керування із власною RTOS (OS Malevich), датчики руху, відчинення, захисту від затоплення та пожежні датчики, вуличні й домашні сирени, тривожна кнопка з функцією керування приладами, розумні розетки та реле. 

 Кожного року ми демонструємо кратне зростання як у чисельності команди, так і в кількості користувачів у всьому світі. Виробництво Ajax Systems налічує два заводи, що розташовані в Україні. Також у нас чотири R&D-офіси: у Києві, Харкові, Львові та Вінниці. Локальні команди продажів є у Великобританії, Італії, Іспанії, Португалії, Німеччині, Польщі, Норвегії, Румунії, Туреччині, ОАЕ та ПАР. Датчики Ajax охороняють понад 1 800 000 користувачів у більш ніж 169 країнах світу. 

 Команда QA Device Automation   розробляє програмно-апаратні комплекси для тестування пристроїв в процесі розробки, перевірки прошивки девайсів після кожного оновлення, створює інструменти для полегшення та підвищення точності мануального тестування. Що потрібно буде робити: Аналіз технічної документації, тест-кейсів Впровадження автоматизованого тестування девайсів з використанням Python та фреймворку Pytest Підтримка та оптимізація тестового оточення Робота з інфраструктурою CI на базі Jenkins Розробка графічних інтерфейсів (PySide, PyQt) для інструментів тестування Взаємодія з командою Manual QA для вирішення їх «точок болю» і автоматизації Необхідні навички: Від 6 місяців комерційного досвіду в тестовій автоматизації (non UI/frontend/API autotests) Знання Python 3.7+ Знання ООП, принципів та практик програмування Досвід роботи з GIT Впевнені знання UNIX/Linux OS на користувацькому рівні Англійська мова — intermediate (на рівні достатньому для розуміння документації та StackOverflow); Буде плюсом: Досвід роботи з Pytest Досвід роботи з CI Jenkins Досвід розробки графічних застосунків на Python Знання і розуміння теорії тестування. Ми пропонуємо: Cвободу приймати рішення і втілювати ідеї Можливість впливати на продукт і виробництво замість монотонного закриття задач Роботу у вмотивованій команді та zero bullshit culture Гнучкий графік в офісі Медичне страхування"
Python QA Automation Engineer (Kyiv Office),from 1 to 3 years,NetGame,Київ,2 вересня,"Ми стабільна українська компанія з  12-річною  історією, яка стрімко розвивається і займається розробкою власних продуктів. Ми являємось топовим ігровим провайдером, а також, в нас є декілька успішних ліцензійних проєктів напрямку гемблінгу на ринок України та США. Ми випустили вже 500+ ігор і не зупиняємось на досягнутому. Про наші плани: Імплементувати автоматизоване тестування в наші продукти, як для вебу, так і для мобільної версії продукту. Реалізувати можливість запуску тестів на різних локалізаціях і доменах, які досить схожі за візуалізацією і функціоналом. Які в тебе є можливості працюючи з нами: — Будувати архітектуру тестового фрейморка; — Писати автотести під UI/API/MOBILE. — Розвиватися у напрямку мобільної автоматизації — розвиватися в напрямку навантажувального тестування; Ти наш ідеальний кандидат, якщо ти маєш: — 1+ роки досвіду з Python, Pytest; — Вміння створювати сценарії за допомогою Webdriver; — Вміння створювати сценарії для тестування API; — Вміння створювати стабільні локатори (xPath, CSS); — Вміння писати автотести для мобільних додатків; — Ти не проти офісного формату роботи і тебе драйвить робота в команді. Буде плюсом: — Знання JS та SQL; — Вміння працювати з СI/CD; — Знання Playwright; — Знання інструментів для тестування навантаження (Locust, JMeter etc). Основні задачі: — Написання нових авто-тестів; — Підтримка і розробка тестового фреймворку; — Написання допоміжних скриптів для команди QA; — Допомогати Manual QA в розвитку в напрямку автоматизації; — Буде плюсом розпочати напрямок Performance testing. Турбуємось про здоров’я наших співробітників: — Медичне страхування; — 17 календарних дні відпустки; — Компенсація лікарняних днів; —  50-75%  оплати healthy lifestyle."
Middle Python Back-end Developer,from 1 to 3 years,Inquatro,віддалено,6 вересня,"We are seeking a highly skilled  Middle Python Back-end Developer  with excellent communication skills to join our dynamic team. As a Python Back-end developer, you will play a critical role in the development and maintenance of our web applications and microservices. Responsibilities ✔️ Design, develop, and maintain Python-based applications; ✔️ Collaborate with cross-functional teams to deliver high-quality software solutions; ✔️ Identifying and resolving cloud environment issues; ✔️ Monitoring system performance and enhancing software for scalability and efficiency; ✔️ Perform code reviews and provide constructive feedback; ✔️ Test and debug programs and improve the functionality of existing systems; ✔️ Provide estimates and communicate project plan to stakeholders   Requirements ✔️  2,5-3  years of commercial experience with Python; ✔️ Understanding of OOP (Object-Oriented Programming) concepts; ✔️ Experience with FastAPI, Flask, Django, Celery, Scrapy, Nginx; ✔️ Hands-on experience with GCP/Azure, AWS services; ✔️ Experience with databases PostgreSQL, MySQL, DynamoDB, MariaDB; ✔️ Knowledge of containerization (Docker, Docker Compose) and CI/CD pipelines; ✔️ Experience with writing unit tests using frameworks like pytest or unittest; ✔️ High attention towards performance optimizations, system scalability, availability, and application stability   Languages ✔️ Spoken English — at least Upper-Intermediate (B2)"
Core Support Engineer,from 1 to 3 years,Temerix,"Вінниця, віддалено",9 вересня,"Our partner is an Israel company Fornova that provides advanced analytics for their customers’ products. The team of the project at the moment is 50+ people. Fornova is looking for a Core Support Engineer to provide excellent services and support to our growing customer base. The role includes addressing complex customer issues, developing and implementing new projects, and increasing customer satisfaction, loyalty, and retention. Job description:   The ideal candidate will provide a combination of both a high level of business and technical support to help resolve complex customer problems, be able to work independently, and have a passion for delivering an excellent customer experience. Serve as a Core support engineer who will master the company’s unique technology Provide great customer experience, and handle issues with expertise and kindness. Must-have skills: Excellent communication in both spoken and written English Python knowledge: (Libraries: scrappy, splash, puppeteer, requests, json, etree, os, re, pandas) Understanding of OOP principles Strong knowledge of HTTP Methods and Networking, Debugging tools in Browsers, Experience with Postman Proficient understanding of code versioning tools (Git, Bitbucket ect.) Good familiarity with the Linux OS and command line (pip, basic commands) Knowledge of HTML/CSS Applicant should be able to create a simple HTML page BA in Computer Science /Information Systems or Industrial Engineering and Management Graduate — Advantage Working experience in JavaScript — Advantage NoSQL / SQL knowledge — Advantage. Reverse engineering of API/web-applications — Advantage Xpath or Regular Expressions — Advantage Ability to work well independently and productively in highly pressured environment Creative thinking and team collaborator Self-learner It would be very useful if you have experience working with the following: Scanners & Crawlers, Splash, Lua script, Fiddler, Postman, MongoDB, Cassandra, ElasticSearch, TypeScript, basic Docker knowledge, Linux, JIRA, Robot framework, Kibana, Tableau Responsibilities: Performing website analysis for creating highly efficient and maintainable automated data collectors in Python Adding enhancements to existing collectors Understanding internal data pipelines, troubleshooting, spotting and overcoming issues on the different stages of data flows. Mastering different lines of business and their requirements and delivering solutions according to internal guidelines and quality requirements. Collaborating with external partners and integrating their solutions to our infrastructure Taking a logical, data-backed approach to prioritizing projects, while cooperating with colleagues from different departments at the same time. Taking ownership of new and challenging projects and enjoying being the “go-to” person. Enhancing our knowledge base with new high-end solutions."
Middle/Senior Python Developer,from 1 to 3 years,CHI Software,віддалено,7 серпня,"The CHI Software team is not standing still. We love our job and give it one hundred percent of us! Every new project is a challenge that we face successfully. The only thing that can stop us is... Wait, it’s nothing! Now the CHI team is looking for a Middle/Senior Python Developer with Clouds AWS/Azure/GCP! Requirements: At least 2+ years experience with Python language; Experience with general Python web-frameworks: Django/Flask, Aiohttp and other; AWS/Azure/GCP experience; Experience with SQL and RDBMS (PostgreSQL, MySQL), NoSQL databases and Python ORMs; Knowledge of HTTP protocol; Knowledge of version control systems: GIT or SVN; Understanding REST; Experience of writing unit and integration tests; Knowledge of CI/CD; Ability to explore and drive new ideas and technologies, think and learn independently; Spoken English (Intermediate and higher); Experience with Front-End frameworks: React/Vue/Angular will be a plus.  Our perks  Covered vacation period: 20 business days and 5 days off Free English classes Flexible working schedule Truly friendly and supporting atmosphere Working remotely or in one of our offices Medical insurance for employees from Ukraine Compensation of psychological counseling Legal support Relocation assistance"
